Font: Noto Sans JP  Style: Thin
Point Size: 64   SP/PD Ratio: 7.8%

Characters included: 3761/7151
Missing characters: 22
Excluded characters: 3368

Characters missing from font file:
----------------------------------------
ID: 38915	Hex: 9803	Char [頃]
ID: 22256	Hex: 56F0	Char [困]
ID: 22372	Hex: 5764	Char [坤]
ID: 25031	Hex: 61C7	Char [懇]
ID: 26127	Hex: 660F	Char [昏]
ID: 26118	Hex: 6606	Char [昆]
ID: 26801	Hex: 68B1	Char [梱]
ID: 28151	Hex: 6DF7	Char [混]
ID: 33390	Hex: 826E	Char [艮]
ID: 20123	Hex: 4E9B	Char [些]
ID: 21449	Hex: 53C9	Char [叉]
ID: 23919	Hex: 5D6F	Char [嵯]
ID: 24038	Hex: 5DE6	Char [左]
ID: 24046	Hex: 5DEE	Char [差]
ID: 26619	Hex: 67FB	Char [査]
ID: 30352	Hex: 7690	Char [皐]
ID: 30399	Hex: 76BF	Char [皿]
ID: 26194	Hex: 6652	Char [晒]
ID: 19977	Hex: 4E09	Char [三]
ID: 23665	Hex: 5C71	Char [山]
ID: 29642	Hex: 73CA	Char [珊]
ID: 29987	Hex: 7523	Char [産]
ID: 34453	Hex: 8695	Char [蚕]
ID: 29246	Hex: 723E	Char [爾]
ID: 29885	Hex: 74BD	Char [璽]
ID: 31034	Hex: 793A	Char [示]
ID: 32780	Hex: 800C	Char [而]
ID: 32819	Hex: 8033	Char [耳]
ID: 33940	Hex: 8494	Char [蒔]
ID: 27728	Hex: 6C50	Char [汐]
ID: 40575	Hex: 9E7F	Char [鹿]
ID: 40235	Hex: 9D2B	Char [鴫]
ID: 31482	Hex: 7AFA	Char [竺]
ID: 36600	Hex: 8EF8	Char [軸]
ID: 38635	Hex: 96EB	Char [雫]
ID: 19971	Hex: 4E03	Char [七]
ID: 21489	Hex: 53F1	Char [叱]
ID: 23460	Hex: 5BA4	Char [室]
ID: 28287	Hex: 6E7F	Char [湿]
ID: 23447	Hex: 5B97	Char [宗]
ID: 24030	Hex: 5DDE	Char [州]
ID: 27954	Hex: 6D32	Char [洲]
ID: 32722	Hex: 7FD2	Char [習]
ID: 36913	Hex: 9031	Char [週]
ID: 37195	Hex: 914B	Char [酋]
ID: 37228	Hex: 916C	Char [酬]
ID: 20805	Hex: 5145	Char [充]
ID: 21313	Hex: 5341	Char [十]
ID: 21280	Hex: 5320	Char [匠]
ID: 21319	Hex: 5347	Char [升]
ID: 21484	Hex: 53EC	Char [召]
ID: 21736	Hex: 54E8	Char [哨]
ID: 21809	Hex: 5531	Char [唱]
ID: 22039	Hex: 5617	Char [嘗]
ID: 23100	Hex: 5A3C	Char [娼]
ID: 23477	Hex: 5BB5	Char [宵]
ID: 23578	Hex: 5C1A	Char [尚]
ID: 25307	Hex: 62DB	Char [招]
ID: 25484	Hex: 638C	Char [掌]
ID: 26119	Hex: 6607	Char [昇]
ID: 26124	Hex: 660C	Char [昌]
ID: 26157	Hex: 662D	Char [昭]
ID: 26230	Hex: 6676	Char [晶]
ID: 29165	Hex: 71ED	Char [燭]
ID: 33394	Hex: 8272	Char [色]
ID: 36785	Hex: 8FB1	Char [辱]
ID: 21767	Hex: 5507	Char [唇]
ID: 26187	Hex: 664B	Char [晋]
ID: 30003	Hex: 7533	Char [申]
ID: 30495	Hex: 771F	Char [真]
ID: 25722	Hex: 647A	Char [摺]
ID: 23544	Hex: 5BF8	Char [寸]
ID: 19990	Hex: 4E16	Char [世]
ID: 26159	Hex: 662F	Char [是]
ID: 21046	Hex: 5236	Char [制]
ID: 24615	Hex: 6027	Char [性]
ID: 26143	Hex: 661F	Char [星]
ID: 26228	Hex: 6674	Char [晴]
ID: 26646	Hex: 6816	Char [栖]
ID: 27491	Hex: 6B63	Char [正]
ID: 29983	Hex: 751F	Char [生]
ID: 30427	Hex: 76DB	Char [盛]
ID: 32854	Hex: 8056	Char [聖]
ID: 35199	Hex: 897F	Char [西]
ID: 36984	Hex: 9078	Char [選]
ID: 36983	Hex: 9077	Char [遷]
ID: 38275	Hex: 9583	Char [閃]
ID: 21069	Hex: 524D	Char [前]
